UnitID,"10 Year Mean Earnings (0-30,000)","6 Year Mean Earnings (0-30,000)","6 Year Median Earnings (0-30,000)","8 Year Median Earnings (0-30,000)","10 Year Median Earnings (0-30,000)","Median Student Loan Debt (0-30,000)","Number of Students in the Median Debt, Low-Income (0-30,000) Student Cohort",year (year)
488101,NA,NA,NA,NA,NA,NA,NA,latest
488110,NA,NA,NA,NA,NA,NA,55,latest
488129,NA,NA,NA,NA,NA,NA,31,latest
488138,NA,NA,NA,NA,NA,NA,NA,latest
488147,NA,NA,NA,NA,NA,NA,81,latest
488174,NA,NA,NA,NA,NA,NA,NA,latest
488183,NA,NA,NA,NA,NA,NA,17,latest
488192,NA,NA,NA,NA,NA,8950,53,latest
488217,NA,NA,NA,NA,NA,5500,155,latest
488226,NA,NA,NA,NA,NA,NA,NA,latest
488253,NA,NA,NA,NA,NA,6333,46,latest
488262,NA,NA,NA,NA,NA,NA,13,latest
488271,NA,NA,NA,NA,NA,10989,78,latest
488280,NA,NA,NA,NA,NA,6333,83,latest
488299,NA,NA,NA,NA,NA,NA,NA,latest
488305,NA,NA,NA,NA,NA,NA,17,latest
488314,NA,NA,NA,NA,NA,NA,NA,latest
488332,NA,NA,NA,NA,NA,9500,34,latest
488350,NA,NA,NA,NA,NA,NA,NA,latest
488369,NA,NA,NA,NA,NA,NA,59,latest
488378,NA,NA,NA,NA,NA,6333,101,latest
488387,NA,NA,NA,NA,NA,NA,NA,latest
488396,NA,NA,NA,NA,NA,NA,NA,latest
488411,NA,NA,NA,NA,NA,6333,86,latest
488420,NA,NA,NA,NA,NA,7389,83,latest
488439,NA,NA,NA,NA,NA,8250,156,latest
488448,NA,NA,NA,NA,NA,12167,37,latest
488527,NA,NA,NA,NA,NA,NA,NA,latest
488554,NA,NA,NA,NA,NA,NA,NA,latest
488563,NA,NA,NA,NA,NA,NA,NA,latest
488572,NA,NA,NA,NA,NA,NA,NA,latest
488590,NA,NA,NA,NA,NA,NA,NA,latest
488651,NA,NA,NA,NA,NA,7307,204,latest
488679,39500,35100,39097,41473,46398,10044,3816,latest
488730,NA,NA,NA,NA,NA,6000,156,latest
488749,NA,NA,25293,30144,24431,6333,173,latest
488776,NA,NA,NA,NA,NA,NA,NA,latest
488785,NA,NA,NA,NA,NA,19500,39,latest
488800,NA,NA,NA,NA,NA,NA,NA,latest
488828,NA,NA,NA,NA,NA,NA,NA,latest
488837,NA,NA,NA,NA,NA,NA,NA,latest
488846,NA,NA,NA,NA,NA,NA,NA,latest
488891,NA,NA,NA,NA,NA,NA,NA,latest
488907,NA,NA,NA,NA,NA,NA,NA,latest
488916,NA,NA,NA,NA,NA,NA,NA,latest
488934,31900,29700,31302,35812,34411,NA,NA,latest
488952,23600,21300,24985,26740,26901,9500,760,latest
488961,25500,23500,27356,28819,32928,9500,698,latest
488970,23900,20600,23751,24384,25713,8609,1559,latest
488989,NA,25500,24878,25579,25131,9500,473,latest
